object-id,filename,original_filename,report_type,report_number,title,authors,authors_affiliation,contributors,contributors_affiliation,publisher,funder,date,abstract,species,places,concepts,source,language,rights,rightsstatement,format,type
ferl-tr-2015-15,ferl-tr-2015-15.pdf,2015-15-SH-overwintering-distribution-fallback-behavior-2013-2014-and 2014-2015.pdf,Technical Report,2015-15,"Overwintering Distribution And Fallback Behavior By Adult Radio-Tagged Steelhead In The Federal Columbia River Power System, Migration Years 2013-2014 And 2014-2015","Keefer, M.L.; Clabough, T.S.; Jepson, M.A.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2015,"Our primary objectives in this two-year study were to: 1) estimate the percentages of adult summer steelhead (Oncorhynchus mykiss) that overwintered in the Federal Columbia River Power System (FCRPS); 2) summarize the spatial distribution of FCRPS-overwintering fish; 3) evaluate the timing, location, and routes of wintertime fallback events at FCRPS dams; 4) estimate overwintering steelhead survival to tributaries; and 5) summarize the downstream movements and FCRPS survival of post-spawn steelhead kelts.  We collected and radio-tagged 789 (2013) and 799 (2014) adult steelhead at Bonneville Dam and used radiotelemetry and PIT tags to monitor their behaviors and distribution. Each annual sample was split into two study groups: an early-run group that was collected from June through August, and a late-run group that was collected in September and October. The samples were weighted for late-run fish because they were more likely to overwinter in the FCRPS and because the late-run, ‘B-group’ steelhead are a management and conservation priority. A substantial portion of the run in late summer could not be sampled due to high temperatures in both years. Tissue samples were collected for all steelhead, and parentage-based tagging (PBT) and genetic stock identification (GSI) was used to help assign fish to tributary populations.","Steelhead, Oncorhynchus mykiss",Bonneville Dam; Columbia River; Snake River; McNary Dam; John Day Dam; The Dalles Dam,salmonids; Federal Columbia River Power System; FCPRS; overwintering; migration; PIT tags; telemetry; parentage-based tagging; genetic stock identification,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2015-8,ferl-tr-2015-8.pdf,2015-08-CK-SK-SH-reach-conversion-rates-lower-Columbia-River-2013-2014.pdf,Technical Report,2015-8,"Reach Conversion Rates Of Radio-Tagged Chinook And Sockeye Salmon And Steelhead In The Lower Columbia River, 2013-2014","Keefer, M.L.; Jepson, M.A.;Clabough, T.S.;Johnson, E.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2015,"Our primary objective in this two-year study was to estimate upstream migration survival (i.e., ‘conversion rates’) of adult salmon and steelhead from release downstream from Bonneville Dam, through dam-to-dam reaches, and past McNary Dam. Radiotelemetry was used to help estimate final fates of tagged fish and to monitor fish behaviors at dams, in reservoirs, and as they entered lower Columbia River tributaries. Radiotelemetry was selected to provide more explicit spatial and temporal accounting of adults that did not successfully pass through the lower Columbia River Hydrosystem. PIT tags were used as a secondary marker that provided additional detection information at Bonneville, The Dalles and McNary dams, at upstream dams, and at many tributary sites and collection facilities.","Steelhead, Oncorhynchus mykiss; Chinook salmon, Oncorhynchus tshawytscha; sockeye salmon, Oncorhynchus nerka",Bonneville Dam; Columbia River; Snake River; McNary Dam; John Day Dam; The Dalles Dam,salmonids; Federal Columbia River Power System; FCPRS; upstream migration survival; conversion rates; radiotelemetry; PIT tags,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2015-7,ferl-tr-2015-7.pdf,2015-07-CK-SK-passage-in-relation-to-fishway-modifications-The Dalles-and-John-Day-2014.pdf,Technical Report,2015-7,"Passage Evaluation Of Radio-Tagged Chinook And Sockeye Salmon After Modifications At The Dalles And John Day Dams, 2014","Garnett, J; Jepson, M.A.;Keefer, M.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2015,Adult salmon and steelhead migrating to natal streams in tributaries of the Columbia River must pass up to nine dams: four in the lower Columbia and Snake Rivers and five in the mid-Columbia River. Losses and delays in migration at each dam must be minimized to maintain native fish runs and to achieve the recovery goals outlined by the Northwest Power and Conservation Council (NWPCC) and by the National Marine Fisheries Service (NMFS).,"Chinook salmon, Oncorhynchus tshawytscha; sockeye salmon, Oncorhynchus nerka",Columbia River; John Day Dam; The Dalles Dam,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; jack salmon; adult salmon; spring and summer salmon; spill walls; passage times; migration; fishways,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2016-6,ferl-tr-2016-6.pdf,2015-06-CK-SK-passage-in-relation-to-fishway-modifications-Bonneville-2013-2014.pdf,Technical Report,2016-6,"Evaluation Of Salmon Passage Behavior In Relation To Fishway
Modifications At Bonneville Dam – 2013-2014","Johnson, E.L.; Clabough, T.S.; Keefer, M.S.; Caudill, C.C.; Lee, S.R.; Garnett, J.; Layng, L.; Noyes, C.; Dick, T.; Jepson, M.A.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2015,"In 2013 and 2014, we evaluated the passage and migration behavior of radio-tagged spring and summer Chinook salmon (Oncorhynchus tshawytscha) and sockeye salmon (O. nerka) in relation to the installation of the Lamprey Flume System (LFS) at the north downstream entrance (NDE) of the powerhouse 2 (PH2) fishway at Bonneville Dam. We also conducted a fourth year of radiotelemetry studies of spring–summer Chinook salmon at Bonneville Dam to evaluate if modifications made at the Cascades Island (CI) fishway in winter 2008-2009 to facilitate passage of adult Pacific lamprey (Entosphenus tridentatus) and improve hydraulics at the entrance for salmon adversely affected passage of adult salmon. Our primary study objective was to compare passage times and behaviors from pre-modification years to those from post-modification years using a set of 5-7 quantitative passage metrics while considering inter-annual variation in environmental, operational, and ecological conditions. The metrics included: entrance efficiency, exit ratio, approach-to-entry time, entry-to-ladder base time, and proportion of adults requiring > 1 hour to pass these segments. We also compared behaviors at NDE and CI to similar sites: the PH2 south downstream entrance (SDE) and Bradford-Island B-Branch entrance, respectively.","Chinook salmon, Oncorhynchus tshawytscha; sockeye salmon, Oncorhynchus nerka; Pacific lamprey, Entosphenus tridentatus",Bonneville Dam; Columbia River; Cascades Island,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; passage times; migration; fishways; Lamprey Flume System,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2014-12,ferl-tr-2014-12.pdf,2014-12-CK-SK-reach-conversion-rates-lower-Columbia-River-2013.pdf,Technical Report,2014-12,"Reach Conversion Rates Of Radio-Tagged Chinook And Sockeye Salmon In The Lower Columbia River, 2013","Keefer, M.L.; Jepson, M.A.;Clabough, T.S.;Johnson, E.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2014,"Our primary objective in this 2013 study was to estimate upstream migration survival (i.e.,‘conversion rates’) of adult salmon and steelhead from release downstream from Bonneville Dam, through dam-to-dam reaches, and past McNary Dam. Radiotelemetry was used to help estimate final fates of tagged fish and to monitor fish behaviors at dams, in reservoirs, and as they entered lower Columbia River tributaries. Radiotelemetry was selected to provide more explicit spatial and temporal accounting for adults that did not successfully pass through the lower Columbia River Hydrosystem.","Chinook salmon, Oncorhynchus tshawytscha; sockeye salmon, Oncorhynchus nerka",Bonneville Dam; Columbia River; Snake River; McNary Dam; John Day Dam; The Dalles Dam,salmonids; Federal Columbia River Power System; FCPRS; upstream migration survival; conversion rates; radiotelemetry; PIT tags,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2014-11,ferl-tr-2014-11.pdf,2014-11-CK-SK-passage-in-relation-to-fishway-modifications-The Dalles-and-John-Day-2013.pdf,Technical Report,2014-11,"Passage Evaluation Of Radio-Tagged Chinook And Sockeye Salmon After Modifications At The Dalles
And John Day Dams, 2013","Garnett, J; Jepson, M.A.;Keefer, M.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2014,"At The Dalles Dam, construction of a ~145-m spill wall was completed in April 2010 and was designed to improve the survival of spillway-passed juvenile salmonids by directing them toward deep water with fewer predators. We evaluated how behavior and passage time of radio-tagged adult and jack spring-summer Chinook salmon Oncorhynchus tshawytscha and sockeye salmon O. nerka in 2013 were affected by three factors: 1) a new spill wall, 2) changing spill volumes, and 3) a spill pattern that directs most water though the northern-most spillbays. We focused analyses on fish size and use of the north fishway.","Chinook salmon, Oncorhynchus tshawytscha; sockeye salmon, Oncorhynchus nerka",Columbia River; John Day Dam; The Dalles Dam,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; jack salmon; adult salmon; spring and summer salmon; spill walls; passage times; migration; fishways,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2014-10,ferl-tr-2014-10.pdf,2014-10-CK-SK-passage-in-relation-to-fishway-modifications-Bonneville-2013.pdf,Technical Report,2014-10,Evaluation Of Adult Salmon Passage Behavior In Relation To Fishway Modifications At Bonneville Dam - 2013,"Johnson, E.L.; Clabough, T.S.; Keefer, M.S.; Caudill, C.C.; Lee, S.R.; Garnett, J.; Layng, L.; Noyes, C.; Dick, T.; Jepson, M.A.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.; Frick, K.E.","Fish Ecology Division, Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2014,"In 2013, we evaluated the passage and migration behavior of radio-tagged spring and summer Chinook salmon (Oncorhynchus tshawytscha ) and sockeye salmon (O. nerka) in relation to the installation of the Lamprey Flume System (LFS) at the north downstream entrance (NDE) of the powerhouse 2 (PH2) fishway at Bonneville Dam. We also conducted a third year of radiotelemetry studies of spring–summer Chinook salmon at Bonneville Dam to evaluate if modifications made at the Cascades Island (CI) fishway in winter 2008-2009 to facilitate passage of adult Pacific lamprey (Entosphenus tridentatus) and improve hydraulics at the entrance for salmon adversely affected passage of adult salmon. Our primary study objective was to compare passage times and behaviors from pre-modification years to those from post-modification years while considering inter-annual variation in environmental, operational, and ecological conditions using a set of 5-7 quantitative passage metrics. The metrics included: entrance efficiency, exit ratio, approach-to-entry time, entry-to-ladder base time, proportion of adults requiring > 1 hour to pass these segments. We also compared behaviors at NDE and CI to similar sites (PH2 south downstream entrance and Bradford-Island B- Branch entrance).","Chinook salmon, Oncorhynchus tshawytscha; sockeye salmon, Oncorhynchus nerka; Pacific lamprey, Entosphenus tridentatus",Bonneville Dam; Columbia River; Cascades Island,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; passage times; migration; fishways; Lamprey Flume System,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2014-3,ferl-tr-2014-3.pdf,2014-03-CK-SH-passage-lower-Snake-River-2013.pdf,Technical Report,2014-3,"Radio-Tagged Chinook Salmon And Steelhead Passage Behavior At Lower Monumental, Little Goose And Lower Granite Dams - 2013","Clabough, T.S.; Jepson, M.A.; Lee, S.R.; Keefer, M.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Sullivan, L.; Hatch, K.",Blue Leaf Environmental,University of Idaho,"U.S. Army Corps of Engineers, Portland District",2014,"The Biological Opinion (BiOP) for the operation of the Federal Columbia River Power System specifies management goals for survival rates of adult salmon and steelhead during upstream migration. Recent data from PIT-telemetry monitoring indicates survival rates are lower than BiOp targets. We conducted a multiple objective study in 2013 using radiotelemetry and environmental monitoring to: 1) characterize general adult migration behavior and passage metrics at lower Snake River dams and reservoirs upstream of Ice Harbor Dam forebay, 2) test for associations between behavior of adult spring–summer Chinook salmon during passage of Little Goose Dam and dam operations and river environmental conditions; and 3) monitor adult salmonid passage in relation to temperature conditions in the Lower Granite Dam fishway and forebay near the fishway exit.","Chinook salmon, Oncorhynchus tshawytscha; Steelhead, Oncorhynchus mykiss",Snake River; Little Goose Dam; Lower Granite Dam; Bonneville Dam; Columbia River; Lower Monumental Dam,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; passage times; migration; fishways; passage behavior,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2011-2_draft,ferl-tr-2011-2_draft.pdf,2011-02-CK-passage-behavior-spill-at-The-Dalles-and-modfications-at-John-Day-2010.pdf,Technical Report,2011-2-Draft,"Behavior Of Radio-Tagged Adult Spring-Summer Chinook Salmon At The Dalles Dam In Relation To Spill Volume And The Presence Of The Bay 8/9 Spill Wall And At John Day Dam In Relation To North Shore Ladder Modifications, 2010","Jepson, M.A.; Keefer, M.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.","Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2011,"The construction of a ~145 meter spill wall at The Dalles Dam was completed in April 2010 and was designed to improve the survival of spillway-passed juvenile salmonids by directing them toward deep water with fewer predators. We evaluated how the new spill wall, spill volume, and a spill pattern, which directs most water though the northern-most spillbays, may have affected behaviors and passage times of radio-tagged adult spring–summer Chinook salmon in 2010.","Chinook salmon, Oncorhynchus tshawytscha",Columbia River; John Day Dam; The Dalles Dam,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; passage times; migration; fishways; passage behavior; spill walls,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
ferl-tr-2011-1,ferl-tr-2011-1.pdf,2011-01-CK-passage-in-relation-to-Cascades-Island-fishway-modifications-Bonneville-2010.pdf,Technical Report,2011-1,"Passage Behavior Of Adult Spring Chinook Salmon At Bonneville Dam Including Evaluations Of Passage At The Modified Cascades Island Fishway, 2010","Jepson, M.A.; Keefer, M.L.; Caudill, C.C.","Fish and Wildlife Sciences, University of Idaho","Burke, B.J.","Northwest Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration",University of Idaho,"U.S. Army Corps of Engineers, Portland District",2011,"In 2010, we conducted a second year of radiotelemetry studies of spring–summer Chinook salmon at Bonneville Dam to evaluate if modifications made at the Cascades Island (CI) fishway to facilitate passage of adult Pacific lamprey and reduce maintenance requirements adversely affected passage of adult salmon. This report compares Bonneville Dam passage time metrics and CI entrance use and passage efficiency metrics collected in April-May 2010 with similar metrics calculated using spring Chinook salmon data collected in 1997-1998, 2000-2004, 2006-2007 (pre-modification years), and 2009 (post-modification). It also compares these same metrics from June 2010 with results from summer Chinook salmon radio-tagged in June 2002–2004 and 2009.","Chinook salmon, Oncorhynchus tshawytscha",Bonneville Dam; Columbia River; Cascades Island,salmonids; Federal Columbia River Power System; FCPRS; radiotelemetry; passage times; migration; fishways; lamprey passage system,"University of Idaho, Fish Ecology Research Lab",eng,?,?,application/pdf,Text
